param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.05;100;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 100};0.8603589199447972;0.8068921783366961
0.05;200;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 200};0.8821054980241441;0.8112844002654837
0.05;500;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 500};0.9202067571415058;0.8138884778404122
0.05;20;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 20};0.8617146899515546;0.797950751525812
0.05;50;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 50};0.8880285925747252;0.8067947741084658
0.05;100;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 100};0.9102442784452474;0.8117615538220682
0.05;200;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 200};0.9386323997794223;0.8127788483135604
0.05;500;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 500};0.9825169335797755;0.8124901569214531
0.05;20;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 20};0.8714954444964482;0.8023727906889015
0.05;50;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 50};0.8970275845818422;0.8089868029565361
0.05;100;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100};0.918250516795359;0.8126320206275174
0.05;200;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200};0.9479977722804019;0.8138959583859645
0.05;500;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 500};0.9881729637883312;0.8132498316395788
0.05;20;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 20};0.8688390343095245;0.8010604954684143
0.05;50;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 50};0.8924299763598305;0.8084932507493964
0.05;100;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 100};0.9143344724434285;0.811185040386823
0.05;200;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 200};0.9435449445618833;0.8128820939277336
0.05;500;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 500};0.9847788327285321;0.8121853248100183
0.05;20;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 20};0.8648496044028792;0.7999894400610116
0.05;50;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 50};0.8904180328625518;0.8087414726391273
0.05;100;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 100};0.9134033118728329;0.8122419673842536
0.05;200;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 200};0.9398440011181306;0.8127138564047435
0.05;500;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 500};0.9850539410741934;0.8111633018880714
0.05;20;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 20};0.9131473330461753;0.8035817575000458
0.05;50;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 50};0.9475875029865544;0.8110163658247017
0.05;100;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 100};0.9632770202871308;0.8131570747696084
0.05;200;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 200};0.9844160726139816;0.8128752285571443
0.05;500;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 500};0.9998248826196072;0.8083570018639834
0.05;20;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 20};0.9296321839064169;0.8084531419837981
0.05;50;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 50};0.9617539629388284;0.8132663624282473
0.05;100;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 100};0.9738621747437931;0.8151493475579639
0.05;200;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 200};0.9901832223209374;0.8145157583702528
0.05;500;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 500};0.9999781274167813;0.8069571259942248
0.05;20;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 20};0.9208323909848679;0.806731827541868
0.05;50;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 50};0.9518068481633022;0.8116226584879224
0.05;100;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 100};0.969029493744445;0.812721297649131
0.05;200;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 200};0.9874396467367922;0.8120294135985378
0.05;500;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 500};0.9999524354467361;0.8080718376152645
0.05;20;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 20};0.9162347183881088;0.8063978089682446
0.05;50;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 50};0.9472444347181591;0.8127662238720613
0.05;100;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 100};0.962910420271564;0.8143815033329516
0.05;200;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 200};0.9849789730108117;0.8132966398958315
0.05;500;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 500};0.9998415103291844;0.8091560357885212
0.1;20;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 20};0.8320005775984045;0.7958710044116832
0.1;50;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 50};0.8578297434849561;0.8064855641290289
0.1;100;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 100};0.8795650229949258;0.8100977904255761
0.1;200;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 200};0.9066785787084829;0.8122589568564644
0.1;500;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 500};0.9581791108927245;0.8109068436108371
0.1;20;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 20};0.8322084816470705;0.7965160898883158
0.1;50;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50};0.8584508149208123;0.8067780043580782
0.1;100;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100};0.8816018653564855;0.8106844426457491
0.1;200;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 200};0.9111772915929969;0.8132926619041991
0.1;500;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 500};0.9568544337650415;0.8127304107971944
0.1;20;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 20};0.8305901938547839;0.795599752700235
0.1;50;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 50};0.8568535908217321;0.8064504644895257
0.1;100;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 100};0.8784329915415954;0.809909781270002
0.1;200;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 200};0.9079327903082389;0.8119269492290105
0.1;500;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 500};0.9584566452900081;0.8103746446509297
0.1;20;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 20};0.8323079748780042;0.7954753761711242
0.1;50;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 50};0.8563432253316783;0.8056181126639221
0.1;100;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 100};0.8780488281479497;0.8106885457758127
0.1;200;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 200};0.9070885392147775;0.8127552258146634
0.1;500;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 500};0.9590888956049471;0.8117721490303904
0.1;20;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 20};0.880013818750617;0.8025608152627506
0.1;50;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 50};0.9086264039925595;0.8095854736310754
0.1;100;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 100};0.9392350482030954;0.8108131030836975
0.1;200;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 200};0.9752038580944241;0.8097593840710566
0.1;500;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 500};0.9983177426603173;0.8109461843249179
0.1;20;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 20};0.8842131546026488;0.8070085785748496
0.1;50;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 50};0.91474743109366;0.8123322524022983
0.1;100;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100};0.9449744916870473;0.8132932120595824
0.1;200;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200};0.9804316031649476;0.8120967594723101
0.1;500;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 500};0.9994005870338625;0.8087650038350418
0.1;20;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 20};0.8777722323102543;0.8048065982852419
0.1;50;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 50};0.9091917472950612;0.8106627135162217
0.1;100;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 100};0.94063874382394;0.8120529489856709
0.1;200;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 200};0.9784645404238377;0.8123928662268173
0.1;500;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 500};0.9988313638920119;0.8084723623195752
0.1;20;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 20};0.8796382401497534;0.802622169997239
0.1;50;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 50};0.9076894674374718;0.8093360548775183
0.1;100;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 100};0.9385240420446954;0.8094581596698448
0.1;200;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 200};0.9782730228649184;0.8138618678940893
0.1;500;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 500};0.9999551844094897;0.8125914227576756
