param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.1;500;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 500};0.947522864261954;0.843343758459359
0.1;20;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 20};0.8973880488650031;0.8411790211796463
0.1;50;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 50};0.9216767100128784;0.8451813133552314
0.1;100;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 100};0.9438309726861364;0.8444897793078752
0.1;200;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 200};0.9716884281941754;0.8379341817460183
0.1;500;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 500};0.9969328105444624;0.8232446284870886
0.1;20;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 20};0.8961954707423497;0.8414619772656579
0.1;50;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 50};0.9198070540957459;0.8458001371137676
0.1;100;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100};0.9433572940189477;0.8449064266896391
0.1;200;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200};0.9722965023104588;0.839760940834131
0.1;500;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 500};0.9968907679088858;0.8237470463740338
0.1;20;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 20};0.8979883479411941;0.8397133115628096
0.1;50;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 50};0.9225124992477947;0.842994591213336
0.1;100;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 100};0.9462767777719768;0.8418708781280936
0.1;200;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 200};0.9732739486089055;0.8359409344612304
0.1;500;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 500};0.9971992182273751;0.8210650107205564
0.1;20;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 20};0.8987075055275531;0.8405917637094024
0.1;50;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 50};0.9223379560521272;0.8454287810158196
0.1;100;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 100};0.9470270429869962;0.8446424920330406
0.1;200;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 200};0.9725238378324245;0.838746989174495
0.1;500;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 500};0.9977033534489711;0.828545813056045
0.1;20;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 20};0.951196479399018;0.8373930821222569
0.1;50;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 50};0.9712279289811084;0.8403319714889471
0.1;100;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 100};0.9873237653043734;0.8361670654080926
0.1;200;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 200};0.9989723099977983;0.8286356797518167
0.1;500;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 500};0.9999998372002191;0.8053377246547595
0.1;20;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 20};0.9497064062136882;0.8353678734591621
0.1;50;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 50};0.9711421397671802;0.8364790674827641
0.1;100;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 100};0.9885951038949354;0.8318586479319902
0.1;200;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 200};0.9988620671366494;0.8219789970878548
0.1;500;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 500};0.999989514237609;0.8003892742673319
0.1;20;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 20};0.9525719053747835;0.8356852721382397
0.1;50;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 50};0.9728732154638622;0.8385330598026411
0.1;100;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 100};0.9898900013586345;0.8351397071136533
0.1;200;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 200};0.998706284183759;0.8256364633128892
0.1;500;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 500};0.9996410199270562;0.8091532774462663
0.1;20;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 20};0.950733881421062;0.8361425744749724
0.1;50;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 50};0.9712711621029917;0.8388406509717868
0.1;100;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 100};0.9881854274807793;0.8327352551490744
0.1;200;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 200};0.999125505230312;0.8253852473837987
0.1;500;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 500};0.9999998444394381;0.8012230132577046
