dataset;data_variant;class_weight;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
1;_woe_pca;40;0.7234115105090607;0.6913686381888952;0.09074410163339383;0.08212892865336086;0.8157664904619628;0.8160882555734313;0.6282722513089005;0.5628930817610063;0.04890374113619692;0.04429596634496412;52641.0;17575.0;11669.0;3862.0;355.0;139.0;600.0;179.0
1;_woe_pca;45;0.7308048547570221;0.6967922386586644;0.08581035642232684;0.07788481246156999;0.7917107178426416;0.7931969662146633;0.6680628272251309;0.5974842767295597;0.0458498023715415;0.04165753124314843;51033.0;17066.0;13277.0;4371.0;317.0;128.0;638.0;190.0
1;_woe_pca;50;0.7387631164817666;0.7110337648742857;0.08244274809160305;0.07682267387656162;0.7697847238182793;0.772420133302689;0.7068062827225131;0.6477987421383647;0.04377431906614786;0.04083250743310208;49565.0;16598.0;14745.0;4839.0;280.0;112.0;675.0;206.0
1;_woe_pca;55;0.743986791726267;0.7219810836668394;0.07961549335595137;0.0757392356908179;0.750601394315483;0.7543093541714548;0.7371727748691099;0.6886792452830188;0.042080095636580994;0.040073193046660564;48284.0;16191.0;16026.0;5246.0;251.0;99.0;704.0;219.0
1;_woe_pca;60;0.7447290244162561;0.7287245528289271;0.07655654383735705;0.07413402395597281;0.7327510917030567;0.7370719374856355;0.7570680628272252;0.720125786163522;0.0403167345117939;0.03907849829351536;47100.0;15806.0;17210.0;5631.0;232.0;89.0;723.0;229.0
1;_woe_pca;65;0.7530135037990884;0.7371802939900244;0.07562308810992427;0.0730816077953715;0.7175668428713705;0.7201562859112848;0.7895287958115184;0.7547169811320755;0.03971347308543137;0.0384;46078.0;15427.0;18232.0;6010.0;201.0;78.0;754.0;240.0
1;_woe_pca;70;0.753921491206289;0.7485145151083341;0.07347755646621558;0.07301173402868318;0.7020761510763809;0.7058607216731786;0.8073298429319372;0.7924528301886793;0.038490339973041784;0.03826879271070615;45050.0;15104.0;19260.0;6333.0;184.0;66.0;771.0;252.0
1;_woe_pca;75;0.7566929572969933;0.7510212021007586;0.07205399489237505;0.07160699417152372;0.6882249291350647;0.6924844863249827;0.8272251308900523;0.8113207547169812;0.03766747723263243;0.037456445993031356;44127.0;14807.0;20183.0;6630.0;165.0;60.0;790.0;258.0
1;_woe_pca;a;0.7534234129352181;0.7429756874245816;0.07457793002202105;0.07310549777117385;0.710242856048418;0.713261319236957;0.7979057591623037;0.7735849056603774;0.0391170431211499;0.03836556456643793;45592.0;15271.0;18718.0;6166.0;193.0;72.0;762.0;246.0
2;_pca;40;0.7142640238178782;0.6962104549149872;0.09265591923139554;0.08719079108498654;0.8292499808473148;0.8286830613652034;0.5958115183246073;0.559748427672956;0.050233954268561844;0.047277556440903055;53552.0;17850.0;10758.0;3587.0;386.0;140.0;569.0;178.0
2;_pca;45;0.7185054232566243;0.7070644770708846;0.08747252747252747;0.08475704459729311;0.8091473224546082;0.8103884164559871;0.625130890052356;0.60062893081761;0.04702638834186688;0.04559560754356649;52212.0;17439.0;12098.0;3998.0;358.0;127.0;597.0;191.0
2;_pca;50;0.72672522085025;0.7154968940728178;0.08485991379310345;0.08248264597795017;0.7918026507316326;0.7934267984371409;0.6596858638743456;0.6352201257861635;0.045346577413085724;0.04410480349344978;51047.0;17059.0;13263.0;4378.0;325.0;116.0;630.0;202.0
2;_pca;55;0.7292247303432896;0.7183493360536051;0.08134747348721148;0.07890287431899304;0.774366046119666;0.7746265226384739;0.6827225130890052;0.660377358490566;0.043250414593698175;0.04195804195804196;49887.0;16642.0;14423.0;4795.0;303.0;108.0;652.0;210.0
