city,coords_string
Birbhum,"['title>gps coordinates of suri, birbhum, india. latitude: 23.9167 longitude: 87.5333', 'meta name=""dcterms.title"" content=""gps coordinates of suri, birbhum, india. latitude: 23.9167 longitude: 87.5333"">\n', 'meta property=""og:title"" content=""gps coordinates of suri, birbhum, india. latitude: 23.9167 longitude: 87.5333"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/28351/suri-birbhum"" data-title=""gps coordinates of suri, birbhum, india. latitude: 23.9167 longitude: 87.5333"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Sultanpur,"['title>gps coordinates of sultanpur, uttarakhand, india. latitude: 29.1600 longitude: 79.0600', 'meta name=""dcterms.title"" content=""gps coordinates of sultanpur, uttarakhand, india. latitude: 29.1600 longitude: 79.0600"">\n', 'meta property=""og:title"" content=""gps coordinates of sultanpur, uttarakhand, india. latitude: 29.1600 longitude: 79.0600"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/190818/sultanpur-uttarakhand"" data-title=""gps coordinates of sultanpur, uttarakhand, india. latitude: 29.1600 longitude: 79.0600"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Lakhimpur,"['title>gps coordinates of north lakhimpur, india. latitude: 27.2352 longitude: 94.1036', 'meta name=""dcterms.title"" content=""gps coordinates of north lakhimpur, india. latitude: 27.2352 longitude: 94.1036"">\n', 'meta property=""og:title"" content=""gps coordinates of north lakhimpur, india. latitude: 27.2352 longitude: 94.1036"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/north-lakhimpur"" data-title=""gps coordinates of north lakhimpur, india. latitude: 27.2352 longitude: 94.1036"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Betul,"['title>gps coordinates of betūl, india. latitude: 21.8333 longitude: 77.8333', 'meta name=""dcterms.title"" content=""gps coordinates of betūl, india. latitude: 21.8333 longitude: 77.8333"">\n', 'meta property=""og:title"" content=""gps coordinates of betūl, india. latitude: 21.8333 longitude: 77.8333"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/state-of-madhya-pradesh/betul"" data-title=""gps coordinates of betūl, india. latitude: 21.8333 longitude: 77.8333"" style=""clear: both;"">\n  ']"
Bharatpur,"['title>gps coordinates of bharatpur, rajasthan, india. latitude: 27.2200 longitude: 77.4800', 'meta name=""dcterms.title"" content=""gps coordinates of bharatpur, rajasthan, india. latitude: 27.2200 longitude: 77.4800"">\n', 'meta property=""og:title"" content=""gps coordinates of bharatpur, rajasthan, india. latitude: 27.2200 longitude: 77.4800"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/10681/bharatpur-rajasthan"" data-title=""gps coordinates of bharatpur, rajasthan, india. latitude: 27.2200 longitude: 77.4800"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
SURENDERNAGAR,"['title>gps coordinates of surendranagar, india. latitude: 22.7271 longitude: 71.6486', 'meta name=""dcterms.title"" content=""gps coordinates of surendranagar, india. latitude: 22.7271 longitude: 71.6486"">\n', 'meta property=""og:title"" content=""gps coordinates of surendranagar, india. latitude: 22.7271 longitude: 71.6486"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/surendranagar"" data-title=""gps coordinates of surendranagar, india. latitude: 22.7271 longitude: 71.6486"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Maharajganj,"['title>gps coordinates of maharajganj district, india. latitude: 27.1300 longitude: 83.5700', 'meta name=""dcterms.title"" content=""gps coordinates of maharajganj district, india. latitude: 27.1300 longitude: 83.5700"">\n', 'meta property=""og:title"" content=""gps coordinates of maharajganj district, india. latitude: 27.1300 longitude: 83.5700"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/17510/maharajganj-district"" data-title=""gps coordinates of maharajganj district, india. latitude: 27.1300 longitude: 83.5700"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Kota,"['title>gps coordinates of kota, rajasthan, india. latitude: 25.1800 longitude: 75.8300', 'meta name=""dcterms.title"" content=""gps coordinates of kota, rajasthan, india. latitude: 25.1800 longitude: 75.8300"">\n', 'meta property=""og:title"" content=""gps coordinates of kota, rajasthan, india. latitude: 25.1800 longitude: 75.8300"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/5427/kota-rajasthan"" data-title=""gps coordinates of kota, rajasthan, india. latitude: 25.1800 longitude: 75.8300"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Midnapore East,"['title>gps coordinates of kolaghat, india. latitude: 22.4300 longitude: 87.8700', 'meta name=""dcterms.title"" content=""gps coordinates of kolaghat, india. latitude: 22.4300 longitude: 87.8700"">\n', 'meta property=""og:title"" content=""gps coordinates of kolaghat, india. latitude: 22.4300 longitude: 87.8700"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/77868/kolaghat"" data-title=""gps coordinates of kolaghat, india. latitude: 22.4300 longitude: 87.8700"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Basti,"['title>gps coordinates of basti district, india. latitude: 27.2500 longitude: 83.0000', 'meta name=""dcterms.title"" content=""gps coordinates of basti district, india. latitude: 27.2500 longitude: 83.0000"">\n', 'meta property=""og:title"" content=""gps coordinates of basti district, india. latitude: 27.2500 longitude: 83.0000"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/19150/basti-district"" data-title=""gps coordinates of basti district, india. latitude: 27.2500 longitude: 83.0000"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Barabanki,"['title>gps coordinates of barabanki city, india. latitude: 26.9200 longitude: 81.2000', 'meta name=""dcterms.title"" content=""gps coordinates of barabanki city, india. latitude: 26.9200 longitude: 81.2000"">\n', 'meta property=""og:title"" content=""gps coordinates of barabanki city, india. latitude: 26.9200 longitude: 81.2000"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/33568/barabanki-city"" data-title=""gps coordinates of barabanki city, india. latitude: 26.9200 longitude: 81.2000"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Gandhi Nagar,"['title>gps coordinates of chhala, india. latitude: 23.3078 longitude: 72.7740', 'meta name=""dcterms.title"" content=""gps coordinates of chhala, india. latitude: 23.3078 longitude: 72.7740"">\n', 'meta property=""og:title"" content=""gps coordinates of chhala, india. latitude: 23.3078 longitude: 72.7740"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/chhala"" data-title=""gps coordinates of chhala, india. latitude: 23.3078 longitude: 72.7740"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Kaushambi,"['title>gps coordinates of kaushambi district, india. latitude: 25.5307 longitude: 81.3773', 'meta name=""dcterms.title"" content=""gps coordinates of kaushambi district, india. latitude: 25.5307 longitude: 81.3773"">\n', 'meta property=""og:title"" content=""gps coordinates of kaushambi district, india. latitude: 25.5307 longitude: 81.3773"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/regions/state-of-uttar-pradesh/kaushambi-district"" data-title=""gps coordinates of kaushambi district, india. latitude: 25.5307 longitude: 81.3773"" style=""clear: both;"">\n  ']"
Kashipur,"['title>gps coordinates of kashipur, uttarakhand, india. latitude: 29.2200 longitude: 78.9500', 'meta name=""dcterms.title"" content=""gps coordinates of kashipur, uttarakhand, india. latitude: 29.2200 longitude: 78.9500"">\n', 'meta property=""og:title"" content=""gps coordinates of kashipur, uttarakhand, india. latitude: 29.2200 longitude: 78.9500"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/16686/kashipur-uttarakhand"" data-title=""gps coordinates of kashipur, uttarakhand, india. latitude: 29.2200 longitude: 78.9500"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
ANJAR,"['title>gps coordinates of anjar, india, india. latitude: 23.1300 longitude: 70.0200', 'meta name=""dcterms.title"" content=""gps coordinates of anjar, india, india. latitude: 23.1300 longitude: 70.0200"">\n', 'meta property=""og:title"" content=""gps coordinates of anjar, india, india. latitude: 23.1300 longitude: 70.0200"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/33595/anjar-india"" data-title=""gps coordinates of anjar, india, india. latitude: 23.1300 longitude: 70.0200"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
