param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.05;200;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 200};0.8907352490064427;0.847317793504735
0.05;500;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 500};0.917349486744904;0.8490240284367574
0.05;20;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 20};0.8827962803441884;0.8387890596125974
0.05;50;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 50};0.9041665952594637;0.8430551273651442
0.05;100;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 100};0.9204078082162014;0.8463298471566333
0.05;200;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 200};0.9437032252784638;0.8469853767154366
0.05;500;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 500};0.9802269390946083;0.8409371799173593
0.05;20;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 20};0.8863902554673145;0.8386019601791282
0.05;50;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 50};0.9087536577549807;0.8442610659972354
0.05;100;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100};0.9259945515517349;0.847245968457869
0.05;200;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200};0.9467228109830714;0.8474461604218838
0.05;500;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 500};0.9819594304366753;0.8381866948954324
0.05;20;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 20};0.8862485552415036;0.8394503319787524
0.05;50;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 50};0.9077372004498584;0.8434960991675603
0.05;100;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 100};0.9264174554960198;0.8469881750932925
0.05;200;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 200};0.9471389680358338;0.8465195975216531
0.05;500;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 500};0.9818983947497456;0.838293246224882
0.05;20;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 20};0.8842964080784673;0.8386127232542221
0.05;50;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 50};0.9054984511031263;0.8428503857324812
0.05;100;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 100};0.9234241010867401;0.8461754194350837
0.05;200;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 200};0.9458538376136599;0.8463723039848247
0.05;500;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 500};0.9830330678865349;0.840083562020331
0.05;20;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 20};0.9293518863586296;0.8352554132451743
0.05;50;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 50};0.9530526950358486;0.8393373420783686
0.05;100;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 100};0.9703380492407;0.8425120138092964
0.05;200;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 200};0.9858993979249634;0.8388035349503427
0.05;500;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 500};0.9992468753876763;0.8235100161976765
0.05;20;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 20};0.9377768512474968;0.8387491049847363
0.05;50;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 50};0.9597032335526013;0.8422292053186731
0.05;100;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 100};0.9745018836661243;0.8436801462979854
0.05;200;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 200};0.9887010476059516;0.8387052659739096
