data_variant;dataset;mean_test_score;mean_train_score;param_learning_rate;param_max_depth;param_n_estimators;param_scale_pos_weight;params
_scaled;3;0.8471767105594668;0.9655161117289675;0.01;7;600;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;3;0.8471649283063478;0.8909402682622248;0.01;5;200;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;3;0.847156289936325;0.9531391462309955;0.01;7;400;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;3;0.8471442162778077;0.9346661508607159;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;1;0.8471394561411837;0.9366819215778758;0.01;7;400;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;2;0.847110563784052;0.8657987080595957;0.01;3;400;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;1;0.8471095811143174;0.9173944762444517;0.1;3;200;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;3;0.8470699466102468;0.953575035765644;0.01;7;400;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;2;0.8470403802936777;0.8661598523958526;0.01;3;400;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;2;0.8470306326751514;0.9458190409014007;0.01;7;400;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;3;0.8470224953606547;0.8679620672256619;0.01;3;400;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;4;0.8470173437025998;0.9648620338141646;0.01;7;600;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;2;0.8469832218940043;0.9352073195469351;0.01;7;200;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;3;0.8469227108206684;0.8682313775866395;0.01;3;400;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;2;0.8469034763384793;0.9286228614982912;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;2;0.8468729274634236;0.9329953534358078;0.01;7;200;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20}
