dataset;data_variant;param_learning_rate;param_n_estimators;param_max_depth;param_max_features;mean_train_score;mean_test_score
3;_pca;0.01;200;5;;0.8863421202001762;0.8031034205065701
3;_pca;0.01;500;5;;0.9158963536099801;0.8109681028254174
3;_pca;0.01;20;5;0.5;0.8629423184729957;0.7967369978838962
3;_pca;0.01;50;5;0.5;0.8791714711027657;0.7980847704427987
3;_pca;0.01;100;5;0.5;0.8931012238360702;0.8022114758693978
3;_pca;0.01;200;5;0.5;0.9143027677206846;0.8062831448031187
3;_pca;0.01;500;5;0.5;0.9415279673444751;0.8137207986433842
3;_pca;0.01;20;5;0.75;0.8518507521152765;0.7912394700146356
3;_pca;0.01;50;5;0.75;0.8686518668713679;0.7955653062980028
3;_pca;0.01;100;5;0.75;0.8853020443740528;0.8001964775603152
3;_pca;0.01;200;5;0.75;0.9036494464671339;0.8044572195279546
3;_pca;0.01;500;5;0.75;0.9327298635100411;0.8117885235726567
3;_pca;0.01;20;5;0.9;0.8423701523776957;0.7892229757406044
3;_pca;0.01;50;5;0.9;0.8582474040531448;0.7959457174242717
3;_pca;0.01;100;5;0.9;0.8749039873393335;0.8001583442630288
3;_pca;0.01;200;5;0.9;0.8938520314886098;0.80418444126796
3;_pca;0.01;500;5;0.9;0.9234183784057496;0.8122250443700871
3;_pca;0.01;20;7;;0.865922794150369;0.7894565947610662
3;_pca;0.01;50;7;;0.8970261706688738;0.7998516759496589
3;_pca;0.01;100;7;;0.9202290454235471;0.8044134073443087
3;_pca;0.01;200;7;;0.9452142975398306;0.8066814224157813
3;_pca;0.01;500;7;;0.9711774955183061;0.8125024867336975
3;_pca;0.01;20;7;0.5;0.9129538608740603;0.7981759772969624
3;_pca;0.01;50;7;0.5;0.9358056419780625;0.8019674916746187
3;_pca;0.01;100;7;0.5;0.9548238958630988;0.8069644593350509
3;_pca;0.01;200;7;0.5;0.9745511537390348;0.8113888001068114
3;_pca;0.01;500;7;0.5;0.98840465667032;0.8154604370076867
3;_pca;0.01;20;7;0.75;0.9001587020641121;0.7958198110249977
3;_pca;0.01;50;7;0.75;0.926446603600481;0.8007772862116295
3;_pca;0.01;100;7;0.75;0.9449238268408301;0.8053966390070036
3;_pca;0.01;200;7;0.75;0.9674712660318225;0.8100362542581093
3;_pca;0.01;500;7;0.75;0.9839752361521277;0.8143131316603333
3;_pca;0.01;20;7;0.9;0.8851761220705812;0.7943652076974831
3;_pca;0.01;50;7;0.9;0.9137410342179785;0.79960460311065
3;_pca;0.01;100;7;0.9;0.9347417560006797;0.804268924067996
3;_pca;0.01;200;7;0.9;0.9586788484081881;0.8075512774105029
3;_pca;0.01;500;7;0.9;0.9775316115657208;0.813370910482143
3;_pca;0.05;20;3;;0.8220690454242493;0.7894733254497545
3;_pca;0.05;50;3;;0.842734893750649;0.7950410969384892
3;_pca;0.05;100;3;;0.8629521272870897;0.8016982532545124
3;_pca;0.05;200;3;;0.88466817076901;0.8074594411580392
3;_pca;0.05;500;3;;0.9222243740889597;0.8104944188323642
3;_pca;0.05;20;3;0.5;0.8231666582088815;0.7910085572353452
3;_pca;0.05;50;3;0.5;0.8430542533315092;0.7991796123288344
3;_pca;0.05;100;3;0.5;0.8644920022313923;0.8050834593228285
3;_pca;0.05;200;3;0.5;0.8876787193937814;0.8107841652476363
3;_pca;0.05;500;3;0.5;0.9248136158134315;0.8140280536104472
3;_pca;0.05;20;3;0.75;0.8231823028519574;0.7896574505502403
3;_pca;0.05;50;3;0.75;0.8447429694437278;0.7953723078829581
3;_pca;0.05;100;3;0.75;0.8662635524420699;0.8025816984625831
3;_pca;0.05;200;3;0.75;0.8880972236055726;0.809203322171092
3;_pca;0.05;500;3;0.75;0.9260000701232874;0.8127606175043364
3;_pca;0.05;20;3;0.9;0.8207519542196359;0.7888693287507149
3;_pca;0.05;50;3;0.9;0.8438362733010203;0.7947941507896076
3;_pca;0.05;100;3;0.9;0.8639703143091498;0.8019793745404636
3;_pca;0.05;200;3;0.9;0.8872413411829775;0.8077409870246074
3;_pca;0.05;500;3;0.9;0.9255915219674468;0.8106463415330133
3;_pca;0.05;20;5;;0.8704982829904979;0.7991615306978029
3;_pca;0.05;50;5;;0.9041238516596422;0.8038519849008261
3;_pca;0.05;100;5;;0.9222245458788312;0.8081366935065531
3;_pca;0.05;200;5;;0.9430099417526236;0.8089307637659098
3;_pca;0.05;500;5;;0.9837495127214414;0.8072419619760064
3;_pca;0.05;20;5;0.5;0.8767952679507268;0.8003953267885067
3;_pca;0.05;50;5;0.5;0.9111630637607537;0.8065925407933658
3;_pca;0.05;100;5;0.5;0.9340520204232617;0.8108148873817935
3;_pca;0.05;200;5;0.5;0.9554241088363141;0.8133314569359844
3;_pca;0.05;500;5;0.5;0.9885751836905049;0.8107590065944882
3;_pca;0.05;20;5;0.75;0.874059412293587;0.7994295136603436
3;_pca;0.05;50;5;0.75;0.907670929650862;0.8048868249899024
3;_pca;0.05;100;5;0.75;0.9302016343593285;0.8087973051321026
3;_pca;0.05;200;5;0.75;0.9508542670697426;0.8112497981839589
3;_pca;0.05;500;5;0.75;0.9864015958367869;0.8099105360086244
3;_pca;0.05;20;5;0.9;0.8726882865955514;0.7994743721007755
3;_pca;0.05;50;5;0.9;0.9091881261816442;0.8047867743072484
3;_pca;0.05;100;5;0.9;0.9268113318603974;0.8095692132319813
3;_pca;0.05;200;5;0.9;0.9496537838365802;0.8113623591474001
3;_pca;0.05;500;5;0.9;0.9858463057352589;0.8072193185282848
3;_pca;0.05;20;7;;0.9267605969847114;0.8058387291498447
3;_pca;0.05;50;7;;0.9591584959405377;0.8094912032892392
3;_pca;0.05;100;7;;0.9739463680135155;0.8109215230190099
3;_pca;0.05;200;7;;0.9882047398760918;0.81111633350491
3;_pca;0.05;500;7;;0.9996765952698632;0.8092284387703844
3;_pca;0.05;20;7;0.5;0.9399681997703718;0.804924219681473
3;_pca;0.05;50;7;0.5;0.9724353921428166;0.8087819011839373
3;_pca;0.05;100;7;0.5;0.9844556356184622;0.8115577368315754
3;_pca;0.05;200;7;0.5;0.9946894082472058;0.8111158003800424
3;_pca;0.05;500;7;0.5;0.9999996308030575;0.8058930092987666
3;_pca;0.05;20;7;0.75;0.9307984171356978;0.8025092116732964
3;_pca;0.05;50;7;0.75;0.9665370833926958;0.8079256581720125
3;_pca;0.05;100;7;0.75;0.9798028030531241;0.8113405388737062
